id,city,n,type,type.label
s01,Alexandria,2,2,Hellenistic
s02,Amphipolis,4,2,Hellenistic
s03,Antioch,45,2,Hellenistic
s04,Apamea,1,2,Hellenistic
s05,Aradus,2,1,Phoenician
s06,Ashkelon,4,1,Phoenician
s07,Berytus,3,1,Phoenician
s08,Bostra,3,5,Nabatean
s09,Byblos,1,1,Phoenician
s10,Caesarea Maritima,29,3,Roman
s11,Chalcis,1,2,Hellenistic
s12,Damascus,27,2,Hellenistic
s13,Dora,2,1,Phoenician
s14,Edessa,1,2,Hellenistic
s15,Ephesus,1,2,Hellenistic
s16,Gaba,3,6,Parthian
s17,Gadara,16,2,Hellenistic
s18,Gamla,7,4,Local
s19,Herakleia,1,2,Hellenistic
s20,Hippos,15,2,Hellenistic
s21,Jerusalem,4294,4,Local
s22,Marathus,1,1,Phoenician
s23,Paneas,19,2,Hellenistic
s24,Petra,4,5,Nabatean
s25,Ptolemais,56,1,Phoenician
s26,Rome,8,3,Roman
s27,Samaria,2,4,Local
s28,Scythopolis,5,2,Hellenistic
s29,Seleucia Pieria,2,2,Hellenistic
s30,Sepphoris,7,4,Local
s31,Sidon,141,1,Phoenician
s32,Tiberias,100,4,Local
s33,Tyre,1358,1,Phoenician
s34,Magdala,0,4,Local
s35,Capernaum,0,4,Local
